Title,Authors,Year,Published in,Keywords,Keywords,# of PwP,Experiment Environment,Application,Aspects,Device,AdditonalDevices,Sensors/Actuators,SamplingFrequency,Identifier,Document Type,
Can multiple wearable sensors be used to detect the early onset of Parkinson's Disease?,S. Abbas; J. Condell; P. Gardiner; M. McCann; S. Todd; J. Connolly,2020,2020 31st Irish Signals and Systems Conference (ISSC),Android;DataGloveTM;goniometric;measurements;hand evaluation;range of motion;standard deviation,"The symptoms of (PD) often begins on one side of the body before separating bilaterally. Early symptoms of PD are rest tremors, bradykinesia and rigidity. Common signs are a decrease in arm swing, shuffling foot movement and slowness arising from a chair. Rigidity of muscles commonly affects a patient limbs, neck and shoulder PD is currently diagnosed after the neuro degenerative process has started. To optimize and improve PD quality of care, it should be diagnosed early in its onset once symptoms are not yet evident. The current gold standard for patient assessment of PD is the completion of symptom diaries. These diaries are subjective and usually do not accurately reflect what is taking place throughout the day. It is exceedingly difficult for an untrained observer such as family members to provide accurate description of movement characteristic in PD. An alternative way to exercise the abnormal movement in PD is to use a wearable technology system which could aid early detection of the disease and help clinicians manage medication when symptoms fluctuate throughout the day. This paper will evaluate the effectiveness of a wearable multi-sensor kinematic system capable of detecting the tell-tale signs of PD when performing tailored exercise routines. Each exercise routine will examine movement for potential PD symptoms and report finding for deeper clinician analysis.",,,Diagnosis,Activities of Daily Living,Wearable,,,,issc49989.2020.9180191,IEEE Conferences,
Detection and Prediction of Neurological Disorder Using Tremor Signals and Machine Learning Algorithms,S. Swami; K. P. SJ; M. K. S,2021,"2021 International Conference on Recent Trends on Electronics, Information, Communication & Technology (RTEICT)",Parkinson's disease;Tremor rating scale;Raspberry Pi;Accelerometer Sensor;Logistic regression;Random forest algorithms,"Latest research studies have indicated that more than seven million people in the worldwide and one million people in the United States have been affected by the common neuro degenerative disorder defined as Parkinson's disease. This disease is more evident in aged people who are a formidable population around the globe. Parkinson's disease (PD) is a continuous growing disease of nervous system that affects largely the regular daily activities and impedes movement of the person. The symptoms of PD patients may vary across geography and communities. Proper and timely Parkinson's disease diagnosis and prediction is an innovative research in medicine. In existent clinical diagnosis as practiced by doctors globally, One of the diagnosing methods is to study tremor signals. Tremor assessments methods include computerized tremor analysis, clinical assessment of drawn figures, standardized rating scales and simple clinical observations. To cater purpose of a clinical research, various rating scales has been developed which suit patient's population. One of the earlier scale used is to measure tremor is Fahn- Tolosa-Marin Tremor Rating Scale (TRS). This is 5-point scale which rates tremor severity predicted from its amplitude, from 0 (no tremor) to 4 (serious tremor) in each part of the body. Primary objective of work under taken is to develop a tremor detection prototype using Raspberry Pi processor equipped with accelerometer and flex sensors. Neurological tremor thus collected from this module is used to build dataset of subjects among the population. Eventually, innovative machine learning algorithms namely Logistic Regression and Random Forest algorithms are designed to predict onset of disease using this dataset. Comparisons of both algorithms has been done for benchmarking purposes. Test results prediction accuracy is documented as 96.0% indicating the performance measure of classifier.",,,Diagnosis,Tremor,Wearable,,,,rteict52294.2021.9573755,IEEE Conferences,
Detection of Freezing of Gait Using Unsupervised Convolutional Denoising Autoencoder,M. H. M. Noor; A. Nazir; M. N. A. Wahab; J. O. Y. Ling,2021,IEEE Access,Parkinson's disease;freezing of gait;denoising autoencoder;unsupervised learning,"At the advanced stage of Parkinson's disease, patients may suffer from 'freezing of gait' episodes: a debilitating condition wherein a patient's ""feet feel as though they are glued to the floor.""Â The objective, continuous monitoring of the gait of Parkinson's disease patients with wearable devices has led to the development of many freezing of gait detection models involving the automatic cueing of a rhythmic auditory stimulus to shorten or prevent episodes. The use of thresholding and manually extracted features or feature engineering returned promising results. However, these approaches are subjective, time-consuming, and prone to error. Furthermore, their performance varied when faced with the different walking styles of Parkinson's disease patients. Inspired by state-of-art deep learning techniques, this research aims to improve the detection model by proposing a feature learning deep denoising autoencoder to learn the salient characteristics of Parkinsonian gait data that is applicable to different walking styles for the elimination of manually handcrafted features. Even with the elimination of manually handcrafted features, a reduction in half of the data window sizes to 2s, and a significant dimensionality reduction of learned features, the detection model still managed to achieve 90.94% sensitivity and 67.04% specificity, which is comparable to the original Daphnet dataset research.",,,Diagnosis,Freezing of gait,Wearable,,,,access.2021.3104975,IEEE Journals,
Validation of Inertial Sensing-Based Wearable Device for Tremor and Bradykinesia Quantification,H. Dai; G. Cai; Z. Lin; Z. Wang; Q. Ye,2021,IEEE Journal of Biomedical and Health Informatics,Bradykinesia;electromagnetic tracking;inertial sensing;Parkinson's disease;tremor,"Neurologists judge the severity of Parkinsonian motor symptoms according to clinical scales, and their judgments exist inconsistent because of differences in clinical experience. Correspondingly, inertial sensing-based wearable devices (ISWDs) produce objective and standardized quantifications. However, ISWDs indirectly quantify symptoms by parametric modeling of angular velocities and linear accelerations nd trained by the judgments of several neurologists through supervised learning algorithms. Hence, the ISWD outputs are biased along with the scores provided by neurologists. To investigate the effectiveness ISWDs for Parkinsonian symptoms quantification, technical verification and clinical validation of both tremor and bradykinesia quantification methods were carried out. A total of 45 Parkinson's disease patients and 30 healthy controls performed the tremor and finger-tapping tasks, which were tracked simultaneously by an ISWD and a 6-axis high-precision electromagnetic tracking system (EMTS). The Unified Parkinson's Disease Rating Scale (UPDRS) prescribed parameters obtained from the EMTS, which directly provides linear and rotational displacements, were compared with the scores provided by both the ISWD and seven neurologists. EMTS-based parameters were regarded as the ground truth and were employed to train several common machine learning (ML) algorithms, i.e., support vector machine (SVM), k-nearest neighbors (KNN), and random forest (RF) algorithms. Inconsistency among the scores provided by the neurologists was proven. Besides, the quantification performance (sensitivity, specificity, and accuracy) of the ISWD employed with ML algorithms were better than that of the neurologists. Furthermore, EMTS can be utilized to both modify the quantification algorithms of ISWDs and improve the assessment skills of young neurologists.",,,Diagnosis,Tremor,Wearable,,,,jbhi.2020.3009319,IEEE Journals,
Real-Time Detection of Gait Events by Recurrent Neural Networks,F. -C. Wang; Y. -C. Li; T. -Y. Kuo; S. -F. Chen; C. -H. Lin,2021,IEEE Access,Gait;neural network;deep learning;heel strike;stroke;Parkinson's disease,"This paper proposes a gait detection model that can recognize important gait events in real time. Human gaits are periodic, with each gait cycle containing the important gait events of mid-swing, heel-strike (HS), and toe-off. The correct identification of different gait patterns caused by stroke or progressive neurodegenerative Parkinson's disease could ensure that the patients receive appropriate treatment and rehabilitation strategies. However, online detection of gait events can be challenging because each person has their own walking patterns and speeds. This paper applies recurrent neural networks (RNNs) to develop a model that can instantly detect important gait events in any subject. We collected clinical gait data and used them to develop an RNN model for real-time detection of HS. The model correctly recognized HS events with an average success rate of 98.84% and an average delay of 0.024 s in the laboratory environment. We then applied the model to three different groups of subjects: healthy elderly subjects, stroke patients, and patients with Parkinson's disease. The developed RNN model also correctly recognized HS events in all three groups with an average accuracy of more than 99.65%, even though the subjects had very different walking patterns. In the future, the developed gait detection model can be integrated with real-time rehabilitation systems to provide patients with repetitive guidance using clinician-determined cures for enhanced clinical gait training.",,,Diagnosis,Gait,Wearable,,,,access.2021.3116047,IEEE Journals,
Deep Neural Network-Based Classification and Diagnosis of Idiopathic Parkinsonism Disease,A. Chintam; R. K. G; A. R. J; S. Yalamati; C. M. D,2021,2021 International Conference on Computational Intelligence and Computing Applications (ICCICA),Deep Neural Networks;Parkinson's disease;prediction;DPDC;Accuracy,"Present days deep neural networks play a crucial role in the prediction and classification of diseases. Without a doubt, DNN has a promising future in the medical area, particularly in clinical imaging. The fame of profound learning approaches is a result of their capacity to deal with a lot of information identified with the patients with reliability, accuracy in a limited ability to focus time. Nonetheless, the specialists might set aside time in breaking down and produce reports. In this work, have proposed a Deep Neural Network-based Parkinson's disease classification (DPDC). Our proposed technique is one such genuine model giving quicker and more precise outcomes for the characterization of Parkinson's sickness patients with magnificent accuracy of 94.87%. Because of the traits of the dataset of the patient, the model can be utilized for the recognizable proof of Parkinsonism's.",,,Diagnosis,Speech topics,Audio Recording,,,,iccica52458.2021.9697322,IEEE Conferences,
Everyday Life Tremor Signal Processing in PD Patients using BSN,J. Babayan; M. Lueken; A. Berking; A. Pickartz; K. Reetz; F. Holtbernd; S. Leonhardt; C. Ngo,2021,2021 Sixth International Conference on Advances in Biomedical Engineering (ICABME),Parkinson's disease (PD);Body Sensor Network (BSN);tremor;automatic segmentation;feature extraction;classification,"Parkinson&#x2019;s disease is a neurological disorder characterized by the deficiency of dopamine levels in the brain. More than 75 percent of these patients suffer from tremors. Parkinsonian tremor (PT) is more characterized to be a rest tremor, but some patients suffer from action tremor as well. Usually, patients suffering from this disease are diagnosed by their physicians who perform some battery MDS-UPDRS tasks to determine the disorder. Some sensors were used to diagnose the tremor objectively, but in this study, we are using a new Body Sensor Network (BSN) designed at our institute to be used in detecting the acceleration, gyroscope, and magnetometer of the tremor patients in the clinic. Signal processing of the recorded data is performed to determine and classify the number of times throughout the day the patient suffered from tremors. This is ensured through automatic signal segmentation, extraction of several signal features, and classification with the most accurate machine learning classifier. In this study, we have proved that our BSN sensor is capable of helping clinicians in classifying tremor occurrence in Parkinson diseased patients specifically, and tremor patients generally throughout monitoring their everyday life activities.",,,Diagnosis,Tremor,Wearable,,,,icabme53305.2021.9604898,IEEE Conferences,
Graph Sequence Recurrent Neural Network for Vision-Based Freezing of Gait Detection,K. Hu; Z. Wang; W. Wang; K. A. Ehgoetz Martens; L. Wang; T. Tan; S. J. G. Lewis; D. D. Feng,2020,IEEE Transactions on Image Processing,Parkinson's disease;freezing of gait detection;deep learning;recurrent neural network;graph sequence,"Freezing of gait (FoG) is one of the most common symptoms of Parkinson's disease (PD), a neurodegenerative disorder which impacts millions of people around the world. Accurate assessment of FoG is critical for the management of PD and to evaluate the efficacy of treatments. Currently, the assessment of FoG requires well-trained experts to perform time-consuming annotations via vision-based observations. Thus, automatic FoG detection algorithms are needed. In this study, we formulate vision-based FoG detection, as a fine-grained graph sequence modelling task, by representing the anatomic joints in each temporal segment with a directed graph, since FoG events can be observed through the motion patterns of joints. A novel deep learning method is proposed, namely graph sequence recurrent neural network (GS-RNN), to characterize the FoG patterns by devising graph recurrent cells, which take graph sequences of dynamic structures as inputs. For the cases of which prior edge annotations are not available, a data-driven based adjacency estimation method is further proposed. To the best of our knowledge, this is one of the first studies on vision-based FoG detection using deep neural networks designed for graph sequences of dynamic structures. Experimental results on more than 150 videos collected from 45 patients demonstrated promising performance of the proposed GS-RNN for FoG detection with an AUC value of 0.90.",,,Diagnosis,Freezing of gait,Video Recording,,,,tip.2019.2946469,IEEE Journals,
Vision-Based Freezing of Gait Detection With Anatomic Directed Graph Representation,K. Hu; Z. Wang; S. Mei; K. A. Ehgoetz Martens; T. Yao; S. J. G. Lewis; D. D. Feng,2020,IEEE Journal of Biomedical and Health Informatics,Parkinson's disease;freezing of gait detection;deep learning;graph convolution neural network,"Parkinson's disease significantly impacts the life quality of millions of people around the world. While freezing of gait (FoG) is one of the most common symptoms of the disease, it is time consuming and subjective to assess FoG for well-trained experts. Therefore, it is highly desirable to devise computer-aided FoG detection methods for the purpose of objective and time-efficient assessment. In this paper, in line with the gold standard of FoG clinical assessment, which requires video or direct observation, we propose one of the first vision-based methods for automatic FoG detection. To better characterize FoG patterns, instead of learning an overall representation of a video, we propose a novel architecture of graph convolution neural network and represent each video as a directed graph where FoG related candidate regions are the vertices. A weakly-supervised learning strategy and a weighted adjacency matrix estimation layer are proposed to eliminate the resource expensive data annotation required for fully supervised learning. As a result, the interference of visual information irrelevant to FoG, such as gait motion of supporting staff involved in clinical assessments, has been reduced to improve FoG detection performance by identifying the vertices contributing to FoG events. To further improve the performance, the global context of a clinical video is also considered and several fusion strategies with graph predictions are investigated. Experimental results on more than 100 videos collected from 45 patients during a clinical assessment demonstrated promising performance of our proposed method with an AUC of 0.887.",,,Diagnosis,Freezing of gait,Video Recording,,,,jbhi.2019.2923209,IEEE Journals,
Detection of Gait From Continuous Inertial Sensor Data Using Harmonic Frequencies,M. Ullrich; A. KÃƒÂ¼derle; J. Hannink; S. D. Din; H. GaÃƒÅ¸ner; F. Marxreiter; J. Klucken; B. M. Eskofier; F. Kluge,2020,IEEE Journal of Biomedical and Health Informatics,Accelerometer;Fourier transform;gyroscope;Parkinson's disease (PD);walking bouts,"Mobile gait analysis using wearable inertial measurement units (IMUs) provides valuable insights for the assessment of movement impairments in different neurological and musculoskeletal diseases, for example Parkinson's disease (PD). The increase in data volume due to arising long-term monitoring requires valid, robust and efficient analysis pipelines. In many studies an upstream detection of gait is therefore applied. However, current methods do not provide a robust way to successfully reject non-gait signals. Therefore, we developed a novel algorithm for the detection of gait from continuous inertial data of sensors worn at the feet. The algorithm is focused not only on a high sensitivity but also a high specificity for gait. Sliding windows of IMU signals recorded from the feet of PD patients were processed in the frequency domain. Gait was detected if the frequency spectrum contained specific patterns of harmonic frequencies. The approach was trained and evaluated on 150 clinical measurements containing standardized gait and cyclic movement tests. The detection reached a sensitivity of 0.98 and a specificity of 0.96 for the best sensor configuration (angular rate around the medio-lateral axis). On an independent validation data set including 203 unsupervised, semi-standardized gait tests, the algorithm achieved a sensitivity of 0.97. Our algorithm for the detection of gait from continuous IMU signals works reliably and showed promising results for the application in the context of free-living and non-standardized monitoring scenarios.",,,Diagnosis,Gait,Wearable,,,,jbhi.2020.2975361,IEEE Journals,
Spectro-Temporal Sparsity Characterization for Dysarthric Speech Detection,I. Kodrasi; H. Bourlard,2020,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",Non-parametric sparsity;parametric sparsity;SVM;DTW;Parkinson's disease,"To assist the clinical diagnosis and treatment of neurological diseases that cause speech dysarthria such as Parkinson's disease (PD), it is of paramount importance to craft robust features which can be used to automatically discriminate between healthy and dysarthric speech. Since dysarthric speech of patients suffering from PD is breathy, semi-whispery, and is characterized by abnormal pauses and imprecise articulation, it can be expected that its spectro-temporal sparsity differs from the spectro-temporal sparsity of healthy speech. While we have recently successfully used temporal sparsity characterization for dysarthric speech detection, characterizing spectral sparsity poses the challenge of constructing a valid feature vector from signals with a different number of unaligned time frames. Further, although several non-parametric and parametric measures of sparsity exist, it is unknown which sparsity measure yields the best performance in the context of dysarthric speech detection. The objective of this paper is to demonstrate the advantages of spectro-temporal sparsity characterization for automatic dysarthric speech detection. To this end, we first provide a numerical analysis of the suitability of different non-parametric and parametric measures (i.e., l<sub>1</sub>-norm, kurtosis, Shannon entropy, Gini index, shape parameter of a Chi distribution, and shape parameter of a Weibull distribution) for sparsity characterization. It is shown that kurtosis, the Gini index, and the parametric sparsity measures are advantageous sparsity measures, whereas the l<sub>1</sub>-norm and entropy measures fail to robustly characterize the temporal sparsity of signals with a different number of time frames. Second, we propose to characterize the spectral sparsity of an utterance by initially time-aligning it to the same utterance uttered by a (arbitrarily selected) reference speaker using dynamic time warping. Experimental results on a Spanish database of healthy and dysarthric speech show that estimating the spectro-temporal sparsity using the Gini index or the parametric sparsity measures and using it as a feature in a support vector machine results in a high classification accuracy of 83.3%.",,,Diagnosis,Speech topics,Audio Recording,,,,taslp.2020.2985066,IEEE Journals,
Evaluation of Hand Tremor Frequency Among Patients in Sri Lanka using a Soft Glove,P. Kavindya; W. V. I. Awantha; A. T. Wanasinghe; A. L. Kulasekera; D. S. Chathuranga; B. Senanayake,2020,2020 Moratuwa Engineering Research Conference (MERCon),Parkinson's disease;essential tremor;medical robotics,"Tremors are the involuntary oscillations of a body part which occur due to diseases such as Parkinson's Disease (PD), Essential tremor (ET) or stroke, which disturbs the activities of daily living (ADL). This paper presents an evaluation of hand tremor frequency among patients in Sri Lanka using a soft glove embedded with inertial measuring units (IMU) and its development and validation. This is a research towards the development of a hand tremor suppression device which requires data on hand tremors. To the best of the authors' knowledge, no local data is available on hand tremors despite the availability of global studies. The hand tremor was quantitatively analyzed and the dominant frequency for each patient, overall mean and standard deviation of peak frequencies were obtained for this study group. The results show a mean of 5.05 Ã‚Â± 2.03 Hz for peak frequencies for the hand tremor patient sample in Sri Lanka. By the gender 4.62 Ã‚Â± 1.78 Hz and 5.69 Hz Ã‚Â± 2.38 Hz are the mean of peak frequencies for male and female sample respectively. This research will also be useful in disease diagnosing in clinical studies and developing hand tremor assessment tools.",,,Diagnosis,Tremor,Wearable,,,,mercon50084.2020.9185382,IEEE Conferences,
CNN-Based PD Hand Tremor Detection Using Inertial Sensors,L. Tong; J. He; L. Peng,2021,IEEE Sensors Letters,Sensor signal processing;convolutional neural network (CNN);hand tremor;inertial sensor;Parkinson's disease (PD),"Parkinson's disease (PD) affects tens of millions of people worldwide, simple and reliable engineering method assist doctors in diagnosis and treatment is necessary. In this letter, a convolutional neural network (CNN)-based PD hand tremor detection method is proposed. The wrist acceleration information of both PD patients with hand tremor and healthy subjects are acquired by wearable device with inertial sensor. Then a nine-layer CNN model is built to identify PD hand tremor. Through the comparing experiments and cross-validation, it is proved that this method can detect PD hand tremor symptoms effectively and has better performance than typical machine learning methods.",,,Diagnosis,Tremor,Wearable,,,,lsens.2021.3074958,IEEE Journals,
Automated machine vision enabled detection of Bradykinesia and Dyskinesias from hand drawn spirals,N. Seedat; V. Aharonson; I. Schlesinger,2020,2020 IEEE International Conference on Healthcare Informatics (ICHI),convolutional neural network;deep learning;Essential Tremor;hyper-parameter optimization;Bradykinesia and Dyskinesia;Parkinson's disease,"A widely used test for the diagnosis of Parkinson's disease (PD) and Essential tremor (ET) is hand-drawn shapes, where the analysis is observationally performed by the examining neurologist. This method is subjective and is prone to bias amongst different physicians. Due to the similarities in the symptoms of the two diseases, they are often misdiagnosed. Studies which attempt to automate the process typically use digitized input, where the tablet or specialized equipment are not affordable in many clinical settings. This study uses a dataset of scanned pen and paper drawings and a convolutional neural network (CNN) to perform classification between PD, ET and control subjects. The discrimination accuracy of PD from controls was 98.2%. The discrimination accuracy of PD from ET and from controls was 92%. An ablation study was conducted and indicated that correct hyper-parameter optimization can increases the accuracy up to 4.33%. Finally, the study indicates the viability of using a CNN-enabled machine vision system to provide robust and accurate detection of Bradykinesia and Dyskinesias from hand drawn spirals.",,,Diagnosis,Bradykinesia and Dyskinesia,Video Recording,,,,ichi48887.2020.9374333,IEEE Conferences,
A Freezing of Gait Detection System Based on Stepwise Feature Extraction Method,X. Liu; S. Chen; K. Ren; J. Zhao; C. Gao; Y. Tan; G. Li; Y. Zhou; Y. Ling; Z. Chen,2020,2020 Chinese Control And Decision Conference (CCDC),Parkinson's disease;FoG;Feature Extraction;Machine learning,"As one of the most common gaits disorders in Parkinson's motor symptoms, freezing of gait FoG severely interferes with patients' daily activities and causes them to fall, which has significant clinical and social consequences. What's worse, there is neither clear pathogenesis nor effective therapeutic regiment at present, making it urgent to develop effective adjuvant treatment, intervention methods to alleviate motor symptoms and improve mobility of patients. As the basis for the implementation of intervention measures, the detection of FoG can also provide symptom information for subsequent disease assessment. Therefore, the detection of FoG has important research significance and application value. This paper proposes a FoG detection system based on motion signals collected by wearable devices and machine learning techniques. A stepwise feature extraction method is proposed to detect FoG by first separating acceleration signal into body acceleration, gravity and FoG acceleration, then calculating the jerk and Euclidean norm of each component, finally extracting a series of temporal and frequency domain features that can reflect the characteristics of FoG and using them to train the classifier. The work characterizes the performance system on user-dependent and user-independent experiment. Furthermore, different preprocessing window size, feature selection methods and classification algorithms are also evaluated. The best result obtained belongs to Light Gradient Boosting Machine LightGBM with 256 sample window size and the feature selection based on mutual information method. The best result achieved an accuracy of 88.62%, a sensitivity of 87.69%, a specificity of 89.29% and an AUC of 88.49%, respectively, enhancing the results of former methods and providing a more balanced rate of sensitivity and specificity.",,,Diagnosis,Freezing of gait,Wearable,,,,ccdc49329.2020.9164331,IEEE Conferences,
Triaxial Accelerometry Wireless System for Characterization of Parkinsonian Tremor,A. Carmona-AlmazÃƒÂ¡n; G. Dorantes-MÃƒÂ©ndez; J. F. RodrÃƒÂ­guez-Arellano; A. R. MejÃƒÂ­a-RodrÃƒÂ­guez,2021,2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),Parkinson's Disease;Tremor Analysis;Diagnosis;Accelerometry;IoT;Wearables,"Parkinsonian Tremor (PT) is the most common symptom of Parkinson's disease. Its early detection plays an important role in the diagnosis of the disease as it is often mistaken for another type of tremor, called Essential Tremor (ET). Accelerometry analysis has proven to be a trustworthy method for determining the frequency, amplitude, and occurrence of tremor. In addition, the use of portable and wearable sensors has increased due to the rapid growth of Internet of Things (IoT) technology, allowing data to be collected, processed, stored, and transmitted. In this paper, a wearable system consisting of a digital 3-axis accelerometer ADXL345 and micro-controller unit ESP32 was implemented to transmit accelerometry (ACC) signals from each upper limb simultaneously to a Graphical User Interface (GUI), that was developed in Python as an MQTT client, allowing the user to visualize both real-time and offline signals as well as to add markers to indicate events during the acquisition. Furthermore, this GUI is capable of performing an offline analysis consisting of the computing of Power Spectral Density (PSD) using Welch's method and a Spectrogram to visualize a time-frequency distribution of the ACC signals.",,,Diagnosis,Tremor,Wearable,,,,embc46164.2021.9630367,IEEE Conferences,
A Novel Non-Parametric Approach Of Tremor Detection Using Wrist-Based Photoplethysmograph,N. Ahmed; C. Bhattacharyya; A. Ghose,2021,2020 28th European Signal Processing Conference (EUSIPCO),Parkinson's Disease;Tremor;Photoplethysmogram (PPG);SSA;Compressive Sensing,"Pervasive detection and quantification of tremor for Parkinson's Disease (PD) patients, using Commercial Off-the-self (COTS) wrist-wearable device is an important problem to investigate. Parkinsonian tremor is one of the earliest and major surrogate biomarker which indicates the progress or status of the disease for patients under treatment using drugs or deep brain stimulation (DBS) therapy. However, it is a challenging issue as tremor occurs at the minor extremities like fingers in some cases such as pill-rolling symptom, the effect of the same on a wrist-worn motion sensor system is not significant enough to be captured. In this paper, we explore the possibility of using the wrist-based photoplethysmography (PPG) as a novel sensor modality in detecting tremor at rest. Our preliminary results gathered from healthy cohorts performing simulations of Parkinsonian tremor elucidates the merit of the proposed method. Also, since PPG acquisition is power-hungry, we have leveraged a conceptual method of compressive sensing to reduce the overall power requirement of the application.",,,Diagnosis,Tremor,Wearable,,,,eusipco47968.2020.9287346,IEEE Conferences,
A Wearable Prototype for Neurological Symptoms Recognition,A. Sciarrone; I. Bisio; C. Garibotto; F. Lavagetto; G. Staude; A. Knopp,2020,ICC 2020 - 2020 IEEE International Conference on Communications (ICC),Essential Tremor (ET);Eye Blinking (EB);Alzhaimer's disease (AD);Parkinson's disease (PD);IoT,"Given the extreme diffusion of Alzheimer's disease (AD) and Parkinson's disease (PD), the necessity for a solution to early detect neurological symptoms of such diseases strongly arose. According to the medical literature, such early detection can be achieved by exploiting the correlation between PD and AD and some external symptoms: the Essential Tremor (ET) and the number of Eye Blinks (EBs). In this paper we present a prototype of sensored glasses able to detect the presence of ET of the head and to count the number of EBs at the same time. To the best of authors' knowledge this is the first attempt to monitor such external symptoms with a transparent and wearable device without any a-priori training. Numerical results prove the reliability of the proposed approach: the proposed algorithms are able to i) correctly recognize the ET with an overall accuracy above 97% and ii) count the number of EBs with a Root Mean Square Error (RMSE) around 0.4.",,,Diagnosis,"Tremor,Sleep topics",Wearable,,,,icc40277.2020.9149017,IEEE Conferences,
Brain Network Analysis by Stable and Unstable EEG Components,S. Liu; M. Li; Y. Feng; M. Zhang; M. E. E. Acquah; S. Huang; J. Chen; P. Ren,2021,IEEE Journal of Biomedical and Health Informatics,Dynamic mode decomposition (DMD);brain network (BN);electroencephalography (EEG);stable EEG components;unstable EEG components;Parkinson's disease (PD);topological attributes,"Objective: Previous studies have already shown that electroencephalography (EEG) brain network (BN) can reflect the health status of individuals. However, novel methods are still needed for BN analysis. Therefore, in this study, BNs were constructed based on stable and unstable EEG components, and these may be implemented for disease diagnosis. Methods: Parkinson's disease (PD) was used as an example to illustrate this method. First, EEG signals were decomposed into dynamic modes (DMs). Each DM contains one eigenvalue that can determine not only the stability of that mode, but also its corresponding oscillatory frequency. Second, the stable and unstable components of EEG signals in each frequency band (delta, theta, alpha and beta) were calculated, which are based on the stable and unstable DMs within each respective frequency band. Third, newly developed BNs were constructed, including stable brain network (SBN), unstable brain network (UBN) and inter-connected brain network (IBN). Finally, their topological attributes were extracted in order to differentiate between PD patients and healthy controls (HC). Furthermore, topological attributes were also derived from traditional brain network (TBN) for comparison. Results: Most topological attributes of SBN, UBN and IBN can significantly differentiate between PD patients and HC (p value <; 0.05). Furthermore, the area under the curve (AUC), precision and recall values of SBN analysis are all significantly higher than TBN. Conclusion: We proposed a new perspective on EEG BN analysis. Significance: These newly developed BNs not only have biological significance, but also could be widely applied in most medical and engineering fields.",,,Diagnosis,Neurodegenation,BioPotential,,,,jbhi.2020.3015471,IEEE Journals,
An Ensemble Classification Technique of Neurodegenerative Diseases from Gait Analysis,M. Heikal; S. Eldawlatly,2020,2020 15th International Conference on Computer Engineering and Systems (ICCES),Huntington's disease (HD);Parkinson's disease (PD);Amyotrophic Lateral Sclerosis (ALS);Classification;Gait,"Neurodegenerative diseases (NDDs) lead to extreme locomotion disorders, which stem from the impairment of motor function caused by these diseases. They alter the gait rhythms and gait dynamics of their patients, which can be reflected in their time-series recordings of footfall contact times. Studies has shown that human gait can be used to identify NDDs. In this paper, an ensemble classification-based diagnostic system that uses patients' gait data to diagnose NDDs is introduced. The diagnostic system is an ensemble of four binary classifications. The proposed technique is applied to gait dynamics data recorded from 64 subjects representing three NDDs: Amyotrophic Lateral Sclerosis (ALS), Parkinson's Disease (PD), and Huntington's Disease (HD), in addition to healthy subjects. Our results demonstrate the ability of the proposed technique to recognize gait dynamics of ALS, PD and HD with an accuracy of 96.8, 86.8% and 85.5%, respectively. These results demonstrate the efficacy of the proposed approach in diagnosing NDDs from gait analysis.",,,Diagnosis,Gait,Force/Pressure,,,,icces51560.2020.9334609,IEEE Conferences,
Investigation of phase analysis methods of antagonist muscles electromyograms in patients with neurodegenerative diseases,O. S. Sushkova; A. A. Morozov; A. V. Gabova; I. A. Kershner; L. A. Chigaleychik; A. V. Karabanov,2021,2021 International Conference on Information Technology and Nanotechnology (ITNT),electromyogram EMG;signal envelope;instantaneous phase difference;wavelet spectrogram complex spectrogram ridge;Hilbert transform essential tremor;Parkinson's disease,An approach to diagnosing Parkinson's disease and essential tremor based on the analysis of histograms of phase differences of the electromyogram envelopes of antagonist muscles was investigated. A comparison of two methods for calculating the instantaneous phase is carried out. The first method is based on the complex ridges of the Morlet complex wavelet spectrograms. The second method is based on the Hilbert transform. Statistically significant differences of medians of the instantaneous phase shift of electromyogram envelopes in antagonist muscles were found.,,,Diagnosis,Tremor,BioPotential,,,,itnt52450.2021.9649193,IEEE Conferences,
Automatic Dysarthric Speech Detection Exploiting Pairwise Distance-Based Convolutional Neural Networks,P. Janbakhshi; I. Kodrasi; H. Bourlard,2021,"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",Dysarthria;Parkinson's disease;Amyotrophic Lateral Sclerosis;pairwise distance;convolutional neural network,"Automatic dysarthric speech detection can provide reliable and cost-effective computer-aided tools to assist the clinical diagnosis and management of dysarthria. In this paper we propose a novel automatic dysarthric speech detection approach based on analyses of pairwise distance matrices using convolutional neural networks (CNNs). We represent utterances through articulatory posteriors and consider pairs of phonetically-balanced representations, with one representation from a healthy speaker (i.e., the reference representation) and the other representation from the test speaker (i.e., test representation). Given such pairs of reference and test representations, features are first extracted using a feature extraction front-end, a frame-level distance matrix is computed, and the obtained distance matrix is considered as an image by a CNN-based binary classifier. The feature extraction, distance matrix computation, and CNN-based classifier are jointly optimized in an end-to-end framework. Experimental results on two databases of healthy and dysarthric speakers for different languages and pathologies show that the proposed approach yields a high dysarthric speech detection performance, outperforming other CNN-based baseline approaches.",,,Diagnosis,Speech topics,Audio Recording,,,,icassp39728.2021.9413922,IEEE Conferences,
