Title,Authors,Year,Published in,Keywords,Keywords,# of PwP,Experiment Environment,Application,Aspects,Device,AdditonalDevices,Sensors/Actuators,SamplingFrequency,Identifier,Document Type,Comments
Automated Detection of ParkinsonÃ¢â‚¬â„¢s Disease Based on Multiple Types of Sustained Phonations Using Linear Discriminant Analysis and Genetically Optimized Neural Network,L. Ali; C. Zhu; Z. Zhang; Y. Liu,2019,IEEE Journal of Translational Engineering in Health and Medicine,Dimensionality reduction;genetic algorithm;hyper-parameter optimization;linear discriminant analysis;ParkinsonÃ¢â‚¬â„¢s disease;deep neural network,"Objective: Parkinson's disease (PD) is a serious neurodegenerative disorder. It is reported that most of PD patients have voice impairments. But these voice impairments are not perceptible to common listeners. Therefore, different machine learning methods have been developed for automated PD detection. However, these methods either lack generalization and clinically significant classification performance or face the problem of subject overlap. Methods: To overcome the problems discussed above, we attempt to develop a hybrid intelligent system that can automatically perform acoustic analysis of voice signals in order to detect PD. The proposed intelligent system uses linear discriminant analysis (LDA) for dimensionality reduction and genetic algorithm (GA) for hyperparameters optimization of neural network (NN) which is used as a predictive model. Moreover, to avoid subject overlap, we use leave one subject out (LOSO) validation. Results: The proposed method namely LDA-NN-GA is evaluated in numerical experiments on multiple types of sustained phonations data in terms of accuracy, sensitivity, specificity, and Matthew correlation coefficient. It achieves classification accuracy of 95% on training database and 100% on testing database using all the extracted features. However, as the dataset is imbalanced in terms of gender, thus, to obtain unbiased results, we eliminated the gender dependent features and obtained accuracy of 80% for training database and 82.14% for testing database, which seems to be more unbiased results. Conclusion: Compared with the previous machine learning methods, the proposed LDA-NN-GA method shows better performance and lower complexity. Clinical Impact: The experimental results suggest that the proposed automated diagnostic system has the potential to classify PD patients from healthy subjects. Additionally, in future the proposed method can also be exploited for prodromal and differential diagnosis, which are considered challenging tasks.",,,Diagnosis,Speech Topics,Audio Recording,,,,,,
Descriptive Symbolic Models of Gaits from Parkinson's Disease Patients,J. A. Hughes; S. Houghten; J. A. Brown,2019,2019 IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB),Gait;Genetic Programming;Linear Regression;Parkinson's Disease;Symbolic Regression;Time series,"Parkinson's disease (PD) is a degenerative disorder of the central nervous system that has many debilitating symptoms which affect the patient's motor system and can cause significant changes in their gait. By using genetic programming, we aim to develop descriptive symbolic nonlinear models of PD patient gait from time series data recorded from pressure sensors under subjects' feet. When compared to popular types of linear regression (OLS and LASSO), the nonlinear models fit their data better and generalize to unseen data significantly better. It was found that models developed for healthy control subjects generalized to other control subjects well, however the models trained on subjects with PD did not generalize well to other PD patients, which complicates the issue of being able to detect the progression of the disease. It is suspected that health care professionals can have difficulty classifying PD due to a lack of accurate data from patient reports; having individually trained models for active monitoring of patients would help in effectively diagnosing PD.",,,Diagnosis,Gait,Force/Pressure,,Pressure sensor,,,,
Multilevel Features for Sensor-based Assessment of Motor Fluctuation in Parkinson's Disease Subjects,B. Ghoraani; M. D. Hssayeni; M. M. Burack; J. Jimenez-Shahed,2019,IEEE Journal of Biomedical and Health Informatics,Parkinsons disease;activities of daily living dynamics;sensor fusion;time-frequency analysis;tensor decomposition;pattern classification,"Motor fluctuations are a frequent complication in patients with Parkinson's disease (PD) where the response to medication fluctuates between ON states (medication working) and OFF states (medication has worn off). This paper describes a new data analysis approach that can be used along with two wearable IMU (inertial measurement units) sensors to continuously assess motor fluctuations in PD patients while moving in their natural environment. We hypothesized that joint analysis of the sensor data in its spectral, temporal and sensor domain could generate multilevel features that can be used to detect PD-related patterns successfully as the subject's motor state fluctuates between medication ON and OFF states. For this purpose, we utilized time-frequency (TF) representation and multiway data analysis tools (i.e., tensor decomposition) to decompose the TF representation of the two sensors' data into its multilevel structures, which were next used to extract multilevel features representing the PD symptoms in different medication states. The extracted multilevel features were used in a classification model based on support vector machine to detect medication ON and OFF states. For comparison purposes, we implemented a traditional feature extraction method. We also developed a hierarchical feature extraction method based on the combination of those two methods. The performances of the three methods were evaluated using a dataset of 19 PD subjects with a total duration of 17.54 hours. The multilevel features achieved 8.25% improvement in the accuracy over the traditional features, and the hierarchical features resulted in 10.73% improvement indicating that our approach holds great promise to continuously detect medication states from continuous monitoring of the subjects' movement. Such information can be used by the treating physician to tailor the adjustments to each subject's unique impairment(s), thereby improving therapeutic decision-making and patient outcomes.",,,Prognosis/Monitoring Disease Progression,Limb movements,Wearable,,IMU,,,,
Evaluating A VR-based Box and Blocks Test for Automatic Assessment of Manual Dexterity: A Preliminary Study in ParkinsonÃ¢â‚¬â„¢s Disease,E. D. OÃƒÂ±a; A. Cuesta-Gomez; J. A. Garcia; W. Raffe; P. SÃƒÂ¡nchez-Herrera; R. Cano-de-la-Cuerda; A. JardÃƒÂ³n,2019,2019 IEEE 7th International Conference on Serious Games and Applications for Health (SeGAH),automatic;assessment;manual dexterity;ParkinsonÃ¢â‚¬â„¢s disease;neurological rehabilitation;virtual reality,"Opportunities of using Virtual Reality (VR) technology for the automation of clinical procedures in general, and for the assessment of motor function in particular, have not been fully explored in Parkinson' disease (PD). For that purpose, a game-like version of the Box and Blocks Test (BBT) for automatic assessment of hand motor function in VR was built. This system uses the Leap Motion Controller (LMC) for hand tracking and the Oculus Rift for a fully immersive experience. In this paper, we focus on evaluating the capabilities of our VR-BBT to reliably measure the manual dexterity in a sample of PD patients. For this study, a group of nine individuals in mild to moderate stage of PD were recruited. Participants were asked to perform both the physical BBT and the VR-BBT systems. Correlation analysis of collected data was carried out comparing the BBT and VR-BBT assessments. The test-retest reliability was also explored for the scores gathered with the virtual tool. Statistical analysis proved that the performance data collected by the game-like system correlated with the validated measures of the physical BBT, with a strong test-retest reliability. This fact suggests that the virtual version of the BBT could be used as a valid and reliable indicator for health improvements.",,,Prognosis/Monitoring Disease Progression,Limb movements,Motion Tracker,,"VR, controller",,,,
Multi-Source Ensemble Learning for the Remote Prediction of Parkinson's Disease in the Presence of Source-Wise Missing Data,J. Prince; F. Andreotti; M. De Vos,2019,IEEE Transactions on Biomedical Engineering,"Missing data;Parkinson's disease, multi-source learning;convolutional neural networks;ensemble learning;feature selection;bootstrap statistics;mobile-Health","As the collection of mobile health data becomes pervasive, missing data can make large portions of datasets inaccessible for analysis. Missing data has shown particularly problematic for remotely diagnosing and monitoring Parkinson's disease (PD) using smartphones. This contribution presents multi-source ensemble learning, a methodology which combines dataset deconstruction with ensemble learning and enables participants with incomplete data (i.e., where not all sensor data is available) to be included in the training of machine learning models and achieves a 100% participant retention rate. We demonstrate the proposed method on a cohort of 1513 participants, 91.2% of which contributed incomplete data in tapping, gait, voice, and/or memory tests. The use of multi-source ensemble learning, alongside convolutional neural networks (CNNs) capitalizing on the amount of available data, increases PD classification accuracy from 73.1% to 82.0% as compared to traditional techniques. The increase in accuracy is found to be partly caused by the use of multi-channel CNNs and partly caused by developing models using the large cohort of participants. Furthermore, through bootstrap sampling we reveal that feature selection is better performed on a large cohort of participants with incomplete data than on a small number of participants with complete data. The proposed method is applicable to a wide range of wearable/remote monitoring datasets that suffer from missing data and contributes to improving the ability to remotely monitor PD via revealing novel methods of accounting for symptom heterogeneity.",,,Prognosis/Monitoring Disease Progression,,Wearable/audio,,,,,,Also Diagnosis
Automatic Diagnosis of Parkinson Disease through Handwriting Analysis: A Cartesian Genetic Programming Approach,R. Senatore; A. Della Cioppa; A. Marcelli,2019,2019 IEEE 32nd International Symposium on Computer-Based Medical Systems (CBMS),Explainable Artificial Intelligence;Parkinson disease;E-Health;Evolutionary Computation,"Early disease identification through non-invasive and automatic techniques has gathered increasing interest by the scientific community in the last decades. In this context, Parkinsons Disease (PD) has received particular attention in that it is a severe and progressive neurodegenerative disease and, therefore, early diagnosis would provide more prompt and effective intervention strategies. This, in turn, would successfully influence the life expectancy of the patients. However, the acceptance of computer-based diagnosis by doctors is hampered by the black-box approach implemented by the most performing systems, such as Artificial Neural Networks and Support Vector Machines, which do not explicit the rules adopted by the system. In this context, we propose a Cartesian Genetic Programming, aimed at automatically identify PD through the analysis of handwriting performed by PD patients and healthy controls. The use of such approach is particularly interesting in that it allows to infer explicit models of classification and, at same time, to automatically identify a suitable subset of features relevant for a correct diagnosis. The approach has been evaluated on the features extracted from the handwriting samples contained in the publicly available PaHaW dataset. Experimental results show that our approach compares favorably with state-of-the-art methods and, more importantly, provides an explicit model of the classification criteria.",,,Diagnosis,Handwritting,Images,,,,,,
Feature Selection Based on L1-Norm Support Vector Machine and Effective Recognition System for ParkinsonÃ¢â‚¬â„¢s Disease Using Voice Recordings,A. U. Haq; J. P. Li; M. H. Memon; J. khan; A. Malik; T. Ahmad; A. Ali; S. Nazir; I. Ahad; M. Shahid,2019,IEEE Access,Classification;feature selection;L1-norm support vector machine;ParkinsonÃ¢â‚¬â„¢s disease diagnosis;performance;voice recording,"The patient of Parkinson's disease (PD) is facing a critical neurological disorder issue. Efficient and early prediction of people having PD is a key issue to improve patient's quality of life. The diagnosis of PD specifically in its initial stages is extremely complex and time-consuming. Thus, the accurate and efficient diagnosis of PD has been a significant challenge for medical experts and practitioners. In order to tackle this issue and to accurately diagnosis the patient of PD, we proposed a machine-learning-based prediction system. In the development of the proposed system, the support vector machine (SVM) was used as a predictive model for the prediction of PD. The L1-norm SVM of features selection was used for appropriate and highly related features selection for accurate target classification of PD and healthy people. The L1-norm SVM produced a new subset of features from the PD dataset based on a feature weight value. For the validation of the proposed system, the K-fold cross-validation method was used. In addition, the metrics of performance measures, such as accuracy, sensitivity, specificity, precision, F1 score, and execution time, were computed for model performance evaluation. The PD dataset was in this paper. The optimal accuracy achieved the best subset of the selected features that might be due to various contributions of the PD features. The experimental findings of this paper suggest that the proposed method can be used to accurately predict the PD and can be easily incorporated in healthcare for diagnosis purpose. Currently, the computer-based assisted predictive system is playing an important role to assist in PD recognition. In addition, the proposed approach fills in a gap on feature selection and classification using voice recordings data by properly matching the experimental design.",,,Diagnosis,,Audio Recording,,,,,,
Reliable ParkinsonÃ¢â‚¬â„¢s Disease Detection by Analyzing Handwritten Drawings: Construction of an Unbiased Cascaded Learning System Based on Feature Selection and Adaptive Boosting Model,L. Ali; C. Zhu; N. A. Golilarz; A. Javeed; M. Zhou; Y. Liu,2019,IEEE Access,Balanced accuracy;machine learning;oversampling;ParkinsonÃ¢â‚¬â„¢s disease;undersampling,"Parkinson's disease (PD) is the second most common neurodegenerative disease of central nervous system (CNS). Till now, there is no definitive clinical examination that can diagnose a PD patient. However, it has been reported that PD patients face deterioration in handwriting. Hence, different computer vision and machine learning researchers have proposed micrography and computer vision based methods. But, these methods possess two main problems. The first problem is biasedness in models caused by imbalanced data i.e. machine learning models show good performance on majority class but poor performance on minority class. Unfortunately, previous studies neither discussed this problem nor took any measures to avoid it. In order to highlight the biasedness in the constructed models and practically demonstrate it, we develop four different machine learning models. To alleviate the problem of biasedness, we propose to use random undersampling method to balance the training process. The second problem is low rate of classification accuracy which has limited clinical significance. To improve the PD detection accuracy, we propose a cascaded learning system that cascades a Chi2 model with adaptive boosting (Adaboost) model. The Chi2 model ranks and selects a subset of relevant features from the feature space while Adaboost model is used to predict PD based on the subset of features. Experimental results confirm that the proposed cascaded system shows better performance than other six similar cascaded systems that used six different state of the art machine learning models. Moreover, it was also observed that the proposed cascaded system improves the strength of conventional Adaboost model by 3.3% and reduces its complexity. Additionally, the cascaded system achieved classification accuracy of 76.44%, sensitivity of 70.94% and specificity of 81.94%.",,,Diagnosis,Handwritting,Images,,,,,,
Parkinson Disease Detection Using Deep Neural Networks,Shivangi; A. Johri; A. Tripathi,2019,2019 Twelfth International Conference on Contemporary Computing (IC3),CNN;Neural;ANN;Parkinson;Gait;PPMI;Neurodegenerative;UCI,"Parkinson's disease (PD) is a neurodegenerative disorder, which is responsible for the deterioration of motor function due to loss of dopamine-producing brain cells i.e. neurons. Tremors, stiffness, slowness in movements, shaking, and impaired balance are some of the primary symptoms of PD. In this paper, two neural network based models namely, VGFR Spectrogram Detector and Voice Impairment Classifier have been introduced, which aim to help doctors and people in diagnosing disease at an early stage. An extensive empirical evaluation of CNNs (Convolutional Neural Networks) has been implemented on large-scale image classification of gait signals converted to spectrogram images and deep dense ANNs (Artificial Neural Networks) on the voice recordings, to predict the disease. The experimental results indicate that the proposed models outperformed the existing state of the arts in terms of accuracy. The classification accuracy on VGFR Spectrogram Detector is recorded as 88.1% while Voice Impairment Classifier has shown 89.15% accuracy.",,,Diagnosis,Speech Topics,Audio Recording,,,,,,
Determining Necessary Length of the Alternating Series Test for Parkinson's Disease Modelling,S. Nomm; T. Kossas; A. Toomela; K. Medijainen; P. Taba,2019,2019 International Conference on Cyberworlds (CW),Luria's alternating series tests;Parkinson's disease;machine learning,"Fine motor tests have been a workhorse in neurology, psychology and psychiatry nearly for one hundred years. In spite of its simplicity, just paper and pen required to conduct the test, their results were proven to be reliable and accepted by the medical community. Nevertheless, it should be noted that assessment of the testing results was and is performed visually by the practitioner, whereas no measurable numeric parameters are used. Such setting inevitably introduces a subjective component to the assessment. Introduction of digital tables and later tablet computers has opened new frontiers in the fine motor analysis. Nowadays tablet computer equipped with stylus pen allows collecting kinematic and pressure parameters describing aspects of the test invisible to the naked eye. In spite of the recent achievements in the digitisation of fine motor tests, very few attention was paid to the parameters of the tests itself. In this paper, the length of the alternating series test is investigated with respect to the accuracy of the classifiers, used to support diagnostics of the Parkinson's disease.",,,Diagnosis,Handwritting,Force/Pressure,,smart pen,,,,
sEMG-Based Tremor Severity Evaluation for Parkinson's Disease Using a Light-Weight CNN,Z. Qin; Z. Jiang; J. Chen; C. Hu; Y. Ma,2019,IEEE Signal Processing Letters,Parkinson's Disease;tremor severity level;sEMG;UPDRS;CNN;similarity learning,"We propose a deep learning based approach for quantifying the tremor severity of Parkinson's disease (PD) based on surface electromyography (sEMG). We design the S-Net, a light weight and computational efficient convolutional neural network that learns the similarity between sEMG signals in terms of the tremor severity. Labeled sEMG samples are used for jointly voting for the final results. Experiments on 147 PD patients demonstrate that our approach outperforms traditional methods by a significant margin. In addition, our approach is simple and has potentials in real applications.",,,Diagnosis,Tremor,BioPotential,,sEMG,,,,
Unsupervised harmonic frequency-based gait sequence detection for Parkinson's disease,M. Ullrich; J. Hannink; H. GaÃƒÅ¸ner; J. Klucken; B. M. Eskofier; F. Kluge,2019,2019 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI),gait analysis;inertial sensors;harmonics;Parkinson's disease,"Sensor-based gait analysis is a valuable tool in diagnosis and assessment of Parkinson's disease. Especially for large data sets, efficient analysis pipelines are required. Pre-segmentation of long time series into chunks of interest is a possible approach to increase efficiency. Therefore, we developed an unsupervised algorithm for the detection of gait sequences from continuous sensor signals. In the proposed method, gyroscope signals representing the angular rate of the feet are analyzed in the frequency domain using moving windows. A gait sequence was detected, if the frequency spectrum of a given window contained harmonic frequencies. The approach was tested on two data sets that differed in the ratio of clinical gait and cyclic movement tests. Sensitivity in both data sets was higher than 99% in a stride-to-stride comparison with ground truth. The specificity was measured with 76.1% (data set 1) and 94.5% (data set 2) for tests against sequences of other cyclic movements. In conclusion, the algorithm offers a reliable and efficient approach for the detection of gait sequences in time series data and is also promising for the application in long-term home-monitoring scenarios.",,,Diagnosis,Gait,Wearable,,IMU,,,,
Prediction of Freezing of gait in ParkinsonÃ¢â‚¬â„¢s Disease Using Statistical Inference and LowerÃ¢â‚¬â€œLimb Acceleration Data,N. Naghavi; E. Wade,2019,IEEE Transactions on Neural Systems and Rehabilitation Engineering,Freezing of gait;ParkinsonÃ¢â‚¬â„¢s disease;sample entropy;wavelet transform;wearable sensors,"The Freezing of gait (FoG) is a common type of motor dysfunction in advanced Parkinson's disease (PD) associated with falls. Over the last decade, a significant amount of studies has been focused on detecting FoG episodes in clinical and home environments. Yet, there remains a paucity of techniques regarding real-time prediction of FoG before its occurrence. In this paper, a new algorithm was employed to define the best combination of sensor position, axis, sampling window length, and features to predict FoG. We hypothesized that gait deterioration before FoG onsets can be discriminated from normal gait using statistical analysis of features from successive windows of data collected from lower-limb accelerometers. We defined a new performance measure, Ã¢â‚¬Å“predictivityÃ¢â‚¬Â, to compare the number of correctly predicted FoG events among different combinations. We characterized the system performance using data from 10 PD patients, who experienced FoG while performing several walking tasks in a lab environment. The analysis of 120 different combinations revealed that prediction of FoG can be realized by using an individual shank sensor and sample entropy calculated from the horizontal forward axis with window length of 2 s (88.8%, 92.5%, and 89.0% for average predictivity, sensitivity, and specificity, respectively).",,,Prognosis/Monitoring Disease Progression,Freezing of gait,Wearable,,Accelerometer,,,,
Multimodal Detection of Parkinson Disease based on Vocal and Improved Spiral Test,H. N. Pham; T. T. T. Do; K. Y. Jie Chan; G. Sen; A. Y. K. Han; P. Lim; T. S. Loon Cheng; Q. H. Nguyen; B. P. Nguyen; M. C. H. Chua,2019,2019 International Conference on System Science and Engineering (ICSSE),Ã¢â‚¬â€Parkinson disease detection;pairwise correlation;k-mean;ensemble;vocal test;sprial test,"Previous studies have used data related to either voice or spiral drawing to detect Parkinson disease (PD). However, different people experience different symptoms and different levels of severity of PD. This paper proposes a multimodal approach combining voice and image test to enhance the reliability of detecting PD patients. To substantiate this idea, we have evaluated both voice and spiral test data using various machine learning models. The results based on the two types of dataset demonstrate an excellent level of accuracy for PD identification. Pairwise correlation and k-means clustering techniques are used to extract features from the vocal dataset. In this classification problem, the highest accuracy of 95.89% is obtained using an ensemble of 3 classification models. The Pearson's correlation is used to extract features from the image dataset. The best accuracy of 99.6% is achieved using the k-Nearest Neighbors classifier in the Dynamic Spiral Test (DST). An accuracy of 98.8% and 94.9% are achieved using the Logistic Regression classifier and the Adaptive Boosting classifier on the Static Spiral Test (SST) and Stability Test on Certain Point (STCP), respectively. A second ensemble making use of results from DST, SST, and STCP will provide the overall result of the spiral test. We also implement the multi-modal approach into a touch-enabled smartphone-based application to carry out preliminary PD tests conveniently, without the need of supervision of additional medical personnel or any specialized equipment. The final ensemble for the application makes use of the results of the respective ensemble from the vocal and spiral tests.",,,Diagnosis,,Video Recording and Image and smartphone,,smartphone,,,,
A Smart Inertial System for 24h Monitoring and Classification of Tremor and Freezing of gait in ParkinsonÃ¢â‚¬â„¢s Disease,P. Pierleoni; A. Belli; O. Bazgir; L. Maurizi; M. Paniccia; L. Palma,2019,IEEE Sensors Journal,Cloud computing;Freezing of gait;inertial measurement system;IoT;Parkinson disease;tremor;wearable sensors,"The main objective of this study is the realization of advanced methods of automatic evaluation and continuous monitoring tools for the support to the medical evaluation of Parkinson's disease (PD) and to the follow up of the patient also through the presentation and classification of data through a universally recognized clinical scale. We have developed an embedded wearable device integrating a tri-axial accelerometer, a tri-axial gyroscope, and a tri-axial magnetometer, realizing a sensor with embedded data fusion and aggregation algorithms. Two different classification and detection algorithms are implemented to provide a comprehensive description and objective quantification of the two most investigated PD's symptoms as tremor and Freezing of gait (FoG). The system is usable in clinical and diagnostic settings showing its effectiveness above all in patients home monitoring through the upload in Cloud and the real-time processing of the acquired data. In the latter case, it allows the detection and objectification of PD symptoms manifested by the patient in everyday life, thereby providing the doctor with essential information for the dosage and effective personalization of drug therapy. For the system validation, a series of tests were carried out according to a defined experimental protocol on a sample of PD patients and healthy subjects with the presence of a video recording system and under the supervision of a neurologists team. The results obtained show a system's accuracy of 97.7% for tremor classification and 99.7% for FoG events detection.",,,Prognosis/Monitoring Disease Progression,Tremor and FoG,Wearable,,IMU,,,,
Quality Control of Voice Recordings in Remote ParkinsonÃ¢â‚¬â„¢s Disease Monitoring Using the Infinite Hidden Markov Model,A. H. Poorjam; Y. P. Raykov; R. Badawy; J. R. Jensen; M. G. Christensen; M. A. Little,2019,"ICASSP 2019 - 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",Bayesian Nonparametric;infinite HMM;ParkinsonÃ¢â‚¬â„¢s disease;quality control;segmentation,"The performance of voice-based systems for remote monitoring of Parkinson's disease is highly dependent on the degree of adherence of the recordings to the test protocols, which probe for specific symptoms. Identifying segments of the signal that adhere to the protocol assumptions is typically performed manually by experts. This process is costly, time consuming, and often infeasible for large-scale data sets. In this paper, we propose a method to automatically identify the segments of signals that violate the test protocol with a high accuracy. In our approach, the signal is first split into variable duration segments by fitting an infinite hidden Markov model (iHMM) to the frames of the signals in the mel-frequency cepstral domain. The complexity of the iHMM is capable of growing jointly with the data allowing us to infer a potentially large (asymptotically infinite) number of different phenomena segmented into different hidden states. Then, we identify the segments that adhere to the test protocol by applying a multinomial naive Bayes classifier to the state indicators of segments. The experimental results show that even by using a small amount of training data, we can achieve around 96% accuracy in identifying short-term protocol violations with a 0.2 s resolution.",,,Prognosis/Monitoring Disease Progression,Speech Topics,Audio Recording,,,,,,
"A Wearable, Patient-Adaptive Freezing of gait Detection System for Biofeedback Cueing in Parkinson's Disease",V. Mikos; C. Heng; A. Tay; S. Yen; N. S. Y. Chia; K. M. L. Koh; D. M. L. Tan; W. L. Au,2019,IEEE Transactions on Biomedical Circuits and Systems,FPGA;Freezing of gait;machine learning;patient adaptivity;parkinson's disease;wearable devices,"Freezing of gait (FoG) is a common motor-related impairment among Parkinson's disease patients, which substantially reduces their quality of life and puts them at risk of falls. These patients benefit from wearable FoG detection systems that provide timely biofeedback cues and hence help them regain control over their gait. Unfortunately, the systems proposed thus far are bulky and obtrusive when worn. The objective of this paper is to demonstrate the first integration of an FoG detection system into a single sensor node. To achieve such an integration, features with low computational load are selected and dedicated hardware is designed that limits area and memory utilization. Classification is achieved with a neural network that is capable of learning in real time and thus allows the system to adapt to a patient during runtime. A small form factor FPGA implements the feature extraction and classification, whereas a custom PCB integrates the system into a single node. The system fits into a 4.5 Ãƒâ€” 3.5 Ãƒâ€” 1.5 cm3 housing case, weighs 32 g, and achieves 95.6% sensitivity and 90.2% specificity when adapted to a patient. Biofeedback cues are provided either through auditory or somatosensory means and the system can remain operational for longer than 9 h while providing cues. The proposed system is highly competitive in terms of classification performance and excels with respect to wearability and real-time patient adaptivity.",,,Rehabilitation,Freezing of gait,"Wearable, Cueing",,,,,,Also Prognosis/Monitoring
Analysis of ParkinsonÃ¢â‚¬â„¢s Disease Dysgraphia Based on Optimized Fractional Order Derivative Features,J. Mucha; M. Faundez-Zanuy; J. Mekyska; V. Zvoncak; Z. Galaz; T. Kiska; Z. Smekal; L. Brabenec; I. Rektorova; K. Lopez-de-Ipina,2019,2019 27th European Signal Processing Conference (EUSIPCO),online handwriting;ParkinsonÃ¢â‚¬â„¢s disease;dysgraphia;fractal calculus;fractional derivatives;classification;regression,"Parkinson's disease (PD) is a common neurodegenerative disorder with prevalence rate estimated to 1.5 % for people age over 65 years. The majority of PD patients is associated with handwriting abnormalities called PD dysgraphia, which is linked with rigidity and bradykinesia of muscles involved in the handwriting process. One of the effective approaches of quantitative PD dysgraphia analysis is based on online handwriting processing. In the frame of this study we aim to deeply evaluate and optimize advanced PD handwriting quantification based on fractional order derivatives (FD). For this purpose, we used 37 PD patients and 38 healthy controls from the PaHaW (PD handwriting database). The FD based features were employed in classification and regression analysis (using gradient boosted trees), and evaluated in terms of their discrimination power and abilities to assess severity of PD. The results suggest that the most discriminative and descriptive information provide FD based features extracted from a repetitive loop task or a sentence copy task (maximum sensitivity/specificity = 76 %, error in severity assessment = 14 %, error in PD duration estimation = 22 %). Next, we identified two optimal ranges for the order of fractional derivative, ÃŽÂ± = 0.05-0.45 and ÃŽÂ± = 0.65-0.80. Finally, we observed that inclusion of pressure, azimuth, and tilt together with kinematic features into mathematical modeling has no influence (positive or negative) on classification performance, however, there was a notable improvement in the estimation of PD duration.",,,Diagnosis,Handwritting,Images,,,,,,
ParkinsonÃ¢â‚¬â„¢s disease and Levodopa effects on muscle synergies in postural perturbation,I. Mileti; A. Zampogna; J. Taborri; F. Martelli; S. Rossi; Z. Del Prete; M. Paoloni; A. Suppa; E. Palermo,2019,2019 IEEE International Symposium on Medical Measurements and Applications (MeMeA),ParkinsonÃ¢â‚¬â„¢s disease;muscle synergies;EMG;Postural strategies;Dynamic posturography;Yaw perturbation,"Assessing effects of neurodegenerative disorders, such as Parkinson's disease (PD), on muscle activation for maintaining balance is a research topic of interest to clarify the pathophysiology of postural instability. This study aims to a deeper insight into pathophysiological mechanisms associated with balance disorders in PD patients, under and not under dopaminergic treatment, through muscle synergy analysis. Ten patients with PD and ten age-matched healthy subjects were exposed to external perturbations around the vertical axis (yaw perturbations). PD patients were evaluated twice, both under their usual dopaminergic therapy (ON) and after a medication washout period of 12 hours (OFF). Two different external perturbations were provided using the RotoBit1D. Muscle activities of 12 bilateral muscles of the upper body were gathered through surface electromyography. To extract muscles synergies, the Non-Negative Matrix Factorization was performed and the Variability Account For was used to assess the minimum Number of Synergies (NoS). Mean, standard error and Coefficient of Variability (CoV) of the total Variability Account For (tVAF) for synergies from 1 to the maximum NoS found were considered. No statistical differences were found considering the NoS that ranged from 2 to 7 among all participants. Statistical differences were found in the tVAF between PD patients and healthy subjects. No statistical differences were found between PD patients OFF and ON state of therapy for all NoS. Finally, the minimum NoS of PD strongly correlated with specific clinical evaluation scores, such as cognitive function and bradykinesia. These findings unveiled poor balance control strategies in PD patients, depending on cognitive and motor impairment and not responding to dopaminergic treatment.",<=10,,Prognosis/Monitoring Disease Progression,EMG abnormalities,BioPotential,,EMG,,,,
Objective and Subjective Speech Quality Assessment of Amplification Devices for Patients With ParkinsonÃ¢â‚¬â„¢s Disease,A. Gaballah; V. Parsa; M. Andreetta; S. Adams,2019,IEEE Transactions on Neural Systems and Rehabilitation Engineering,Parkinson disease;speech quality;speech amplifiers;speech analysis;machine learning,"This paper investigated subjective and objective assessment of Parkinsonian speech quality. Speech stimuli were recorded from 11 Parkinsonian and 10 age-matched normal control participants under different amplification and environmental conditions. Quality ratings of the recorded stimuli were obtained from naÃƒÂ¯ve listeners. For objective assessment, feature vectors were derived from the speech recordings based on temporal, spectral, and/or cepstral parametrization. These feature vectors were subsequently mapped to the predicted quality scores through several regression methods, including support vector regression, Gaussian process regression, and deep learning. Analyses of subjective speech quality ratings showed that Parkinsonian speech quality was significantly poorer than control subjects' speech quality, and that the amplification devices differentially affected perceived quality of Parkinsonian speech. Objective analyses revealed disparity in performance among feature vectors and mappers, with some feature vector and mapper combinations exhibiting statistically similar correlations with subjective ratings. A set consisting of cepstral, spectral, and modulation domain speech features when combined with Gaussian process regression or deep learning resulted in the highest correlation of 0.85 with the subjective data.",,,Diagnosis,,Audio Recording,,,,,,
Optimization of Features for Classification of Parkinson's Disease from Vocal Dysphonia,W. Farzana; Q. Z. D. Hossain,2019,"2019 International Conference on Electrical, Computer and Communication Engineering (ECCE)",Classification;Attribute;Accuracy;Precision,"Parkinsons disease is considered most prominent neurological disease after Alzheimer and Epilepsy. There is no defined test for early diagnosis of Parkinson's patient and medical decisions are provided based on the medical history of the patient and hence the possibility of misdiagnosis. Parkinsons disease influxes different prospects of a patient and in 90% cases vocal dysphonia is present an analysis of the vocal dysphonia can be considered as the early biomarker of decision making for medical practitioners and neurologists as well as biometric analysis. This study aims at vocal dysphonia analysis of Parkinson's patient from voice dataset with different machine learning algorithms with a goal to achieve better performance with less number of attributes. A comparative study is performed where k-Nearest performed approximately with 98% accuracy with 5 relevant attributes, Random Tree with 100% accuracy with 1 related attribute. In addition in the case of Multi-Layer Perceptions with different hiddenlayers, the performance is evaluated. It is observed that MDVP: Fo, MDVP: Shimmer, RPDE, Spread1 attributes contribute more to efficient classification accuracy.",,,Diagnosis,Speech Topics,Audio Recording,,,,,,
